user_id,platform,market_country,user_creation_datetime,confirmation_datetime,first_purchase_datetime,last_purchase_datetime,first_integration_datetime,last_segment_recorded,longevity,total_sales,avg_sales_per_day,min_days_btwn_sales,frst_quartile_days_btwn_sales,avg_days_btwn_sales,median_days_btwn_sales,thrd_quartile_days_btwn_sales,max_days_btwn_sales,min_days_btwn_sale_date,fst_quartile_days_btwn_sale_date,avg_days_btwn_sale_date,median_days_btwn_sale_date,thrd_quartile_days_btwn_sale_date,frequency,recency,month_label_count,quarter_label_count,year_label_count,previous_year_label_count,historic_label_count,month_revenue_eur,quarter_revenue_eur,year_revenue_eur,previous_year_revenue_eur,historic_revenue_eur,month_average_order_value,quarter_aov,year_aov,year_plat_cntry_aov,previous_year_aov,previous_year_plat_cntry_aov,historic_aov,csat,cs_tickets_good,cs_tickets_offered,cs_tickets_unoffered,cs_tickets_bad,customer_feedback_tickets,total_tickets,churn_factor,status
a571a717903d731460c3f8b012897aa6,4128403e5dad4f40eb5c79a92a5719c9,6b681da4aa6e2f33a5f06ff660ba0e9e,2019-06-10 17:10:15 UTC,2019-06-10 17:10:15 UTC,2019-08-19 16:01:43 UTC,2021-03-06 18:21:17 UTC,2019-08-19 16:01:43 UTC,S,974,36,0.037,0,0,15,3,15,144,1,3,23,12,27,20.25,407,6,16,36,,36,31.48,89.9,173.47,,173.47,5.246666667,17.98,14.455833333,6.675166723,,6.062346652,14.455833333,,,,,,,,20.098765432098766,churned
c681dc7c20837e3ea7a0c0531e3d4eb6,4128403e5dad4f40eb5c79a92a5719c9,64f6711e77d2ec8af8ac3292c66d2875,2019-03-12 09:52:44 UTC,2019-03-12 09:52:44 UTC,2019-03-12 10:31:17 UTC,2022-04-17 15:54:31 UTC,2019-03-12 10:31:17 UTC,S,1134,35,0.0309,0,0,32,3,19,595,1,3,53,18,34,49.304347826086953,0,3,20,35,,35,9.87,54.48,114.99,,114.99,3.29,10.896,9.5825,3.480827203,,3.46083871,9.5825,,,,,,,,0,ok
9d8cbbb590831fb2e61b4dbefe4543d4,c44577a5b4c0036fe1ec82c04bfa87c6,9a6e56e83f8d0f692203f7b4850f86ff,2019-08-30 14:04:15 UTC,2019-08-30 14:04:15 UTC,2019-09-09 20:23:35 UTC,2022-04-15 06:28:45 UTC,2019-11-26 17:34:22 UTC,Non-recurring,953,568,0.596,0,0,1,0,0,105,1,1,6,2,5,4.1850220264317182,3,9,247,511,94,568,47.15,1212.15,2645.13,771.06,3226.42,5.238888889,242.43,203.471538462,7.1218658,59.312307692,7.058972748,129.0568,1,7,8,4,0,7,19,0.71684210526315784,ok
3ce08777163438749f3110c10b72d6be,4128403e5dad4f40eb5c79a92a5719c9,c097bb1538327aaf74797d23f6fcef83,2020-08-16 20:56:37 UTC,2020-08-16 20:56:37 UTC,2020-08-16 21:04:41 UTC,2022-04-08 08:31:15 UTC,2020-08-16 21:04:41 UTC,M,611,43,0.0704,0,0,14,1,7,162,1,2,23,6,33,20.724137931034484,10,1,7,43,,43,2.94,29.8,141.1,,141.1,2.94,5.96,12.827272727,4.35631396,,4.09798439,12.827272727,,0,3,0,0,0,3,0.48252911813643923,ok
36989756b0656e71577f284a7e7af62a,4128403e5dad4f40eb5c79a92a5719c9,c097bb1538327aaf74797d23f6fcef83,2020-04-24 08:25:17 UTC,2020-04-24 08:25:17 UTC,2020-05-26 09:28:55 UTC,2022-03-14 11:43:35 UTC,2020-05-26 09:28:55 UTC,S,693,36,0.0519,0,1,18,6,11,376,1,5,24,9,13,22.689655172413794,35,1,8,36,,36,8.13,48.86,235.29,,235.29,8.13,9.772,19.6075,4.35631396,,4.09798439,19.6075,,,,,,,,1.5425531914893618,ok
4c31437a506d11502f75c17706285550,4128403e5dad4f40eb5c79a92a5719c9,c097bb1538327aaf74797d23f6fcef83,2020-04-29 15:14:03 UTC,2020-04-29 15:14:03 UTC,2020-04-29 20:02:48 UTC,2022-02-22 20:01:33 UTC,2020-04-29 20:02:48 UTC,M,720,378,0.525,0,0,2,0,1,58,1,1,4,2,5,4.1625,54,4,22,139,273,378,11.11,72.86,419.5,693.83,1019.39,2.7775,14.572,32.269230769,4.35631396,69.383,4.09798439,46.335909091,,,,,,,,12.972972972972974,churned
97368bb985f40b81b494dae149473497,4128403e5dad4f40eb5c79a92a5719c9,c097bb1538327aaf74797d23f6fcef83,2019-08-05 05:38:46 UTC,2019-08-05 05:38:46 UTC,2019-08-05 05:42:16 UTC,2022-03-21 16:21:07 UTC,2019-08-05 05:42:16 UTC,S,988,114,0.1154,0,0,8,1,6,207,1,4,16,6,14,15.5,27,7,20,46,70,114,24.03,68.45,152.09,188.4,335.18,3.432857143,13.69,11.699230769,4.35631396,18.84,4.09798439,15.235454545,,,,,,,,1.7419354838709677,ok
21ae7c8e3d6d099d5ba6ac5cf079d6a8,4128403e5dad4f40eb5c79a92a5719c9,c097bb1538327aaf74797d23f6fcef83,2019-10-26 10:14:43 UTC,2019-10-26 10:14:43 UTC,2019-10-26 10:16:07 UTC,2021-04-03 12:36:00 UTC,2019-10-26 10:16:07 UTC,S,906,70,0.0773,0,0,7,2,8,84,1,3,12,7,14,10.958333333333334,380,1,41,60,13,70,2.83,113.33,172.23,36.2,199.91,2.83,22.666,13.248461538,4.09798439,7.24,3.566521491,11.759411765,,,,,,,,34.676806083650192,churned
308f5d9af403a87de37f7f0ab02d7e86,61e0171e3638dff765e85f0bb190ae29,6b681da4aa6e2f33a5f06ff660ba0e9e,2020-10-04 16:26:48 UTC,,2020-10-04 16:31:57 UTC,2021-06-14 19:35:27 UTC,,Non-recurring,562,3,0.0053,27,14,84,27,126,225,27,77,126,126,176,127.5,307,1,3,3,,3,15.72,64.67,64.67,,64.67,15.72,21.556666667,21.556666667,15.019487267,,13.739577519,21.556666667,,,,,,,,2.4078431372549018,ok
b61e35dc80faab88398ba93bcf2427f0,4128403e5dad4f40eb5c79a92a5719c9,9a6e56e83f8d0f692203f7b4850f86ff,2020-01-07 23:48:18 UTC,2020-01-07 23:48:18 UTC,2020-01-08 17:38:08 UTC,2020-04-29 18:16:13 UTC,2020-01-08 17:38:08 UTC,Non-recurring,832,3,0.0036,28,14,37,28,56,83,28,42,56,56,69,57,718,2,3,3,,3,17.02,74.34,74.34,,74.34,8.51,37.17,37.17,6.532434555,,6.698780829,37.17,,,,,,,,12.596491228070175,churned
