iter	F1	Logloss
0	0.8650406504	0.6212913624
1	0.9013657056	0.5834831872
2	0.9016641452	0.545851254
3	0.8957055215	0.5109187705
4	0.8953846154	0.4722371662
5	0.904109589	0.4417472999
6	0.9090909091	0.4203396115
7	0.9077155825	0.3949226021
8	0.9200603318	0.371583064
9	0.9214501511	0.3559302051
10	0.9230769231	0.3444163762
11	0.9151515152	0.3311137794
12	0.9233082707	0.3122909507
13	0.921686747	0.303733353
14	0.921686747	0.2891187785
15	0.9235382309	0.2753971685
16	0.9329359165	0.2615689671
17	0.931547619	0.2451698214
18	0.9408284024	0.2344796268
19	0.943620178	0.2266366715
20	0.9481481481	0.2204224147
21	0.9554896142	0.2138551137
22	0.9556213018	0.207451563
23	0.9512555391	0.2023340114
24	0.9587020649	0.1961322996
25	0.9601181684	0.1931629244
26	0.9630723781	0.1887780663
27	0.9660265879	0.1837752166
28	0.9719350074	0.1786022509
29	0.9704142012	0.176686222
30	0.9688888889	0.1725562015
31	0.9749631811	0.1660876215
32	0.9704142012	0.1621902926
33	0.9748892171	0.1595987927
34	0.9748892171	0.1570849332
35	0.9748892171	0.1535600837
36	0.9748892171	0.150877341
37	0.9748892171	0.1478282081
38	0.9733727811	0.1466334903
39	0.9748892171	0.1445041357
40	0.9763313609	0.1431392962
41	0.9778434269	0.1424885522
42	0.9808541973	0.1400959905
43	0.9808541973	0.1363333022
44	0.9823529412	0.1341285857
45	0.9823529412	0.1307896778
46	0.9838472834	0.1273180872
47	0.9838472834	0.1252994058
48	0.9838472834	0.1250448078
49	0.9838472834	0.1231373621
50	0.9853372434	0.1227461781
51	0.9853372434	0.1210390532
52	0.9853372434	0.1201698069
53	0.9868228404	0.1199295239
54	0.9868228404	0.1194472748
55	0.9868228404	0.1192118639
56	0.9868228404	0.1185878922
57	0.9853372434	0.1166997273
58	0.9853372434	0.1161886507
59	0.9853372434	0.1148560628
60	0.9838472834	0.1138838932
61	0.9838472834	0.1137881236
62	0.9838472834	0.1129052865
63	0.9853372434	0.1107736542
64	0.9853372434	0.1083883939
65	0.9853372434	0.1076706502
66	0.9868228404	0.1062428513
67	0.9868228404	0.1049109835
68	0.9868228404	0.1044014307
69	0.9853372434	0.1031626878
70	0.9853372434	0.1030238245
71	0.9868228404	0.102483164
72	0.9868228404	0.1023245479
73	0.9868228404	0.1021000246
74	0.9868228404	0.1018115525
75	0.9868228404	0.1011277342
76	0.9868228404	0.09997522001
77	0.9882697947	0.09807623352
78	0.9882697947	0.09717881931
79	0.9912280702	0.09542874693
80	0.9927007299	0.09518979656
81	0.9927007299	0.09492516516
82	0.9927007299	0.09485228112
83	0.9927007299	0.09333133237
84	0.9927007299	0.09227848883
85	0.9927007299	0.09128375032
86	0.9927007299	0.09104422371
87	0.9927007299	0.08936546461
88	0.9927007299	0.08893041036
89	0.9927007299	0.08856326444
90	0.9927007299	0.08805406598
91	0.9927007299	0.08749971163
92	0.9927007299	0.08696422458
93	0.9927007299	0.08623864245
94	0.9927007299	0.08579680404
95	0.9927007299	0.08541487091
96	0.9927007299	0.0849831758
97	0.9941690962	0.08458885766
98	0.9927007299	0.0832103647
99	0.9927007299	0.08222516198
100	0.9927007299	0.08198903685
101	0.9956331878	0.08166426613
102	0.9941690962	0.08098593799
103	0.9941690962	0.08085444521
104	0.9941690962	0.08000243755
105	0.9941690962	0.07898682659
106	0.9956331878	0.07800444496
107	0.9970930233	0.07746870856
108	0.9970930233	0.07596017121
109	0.9970930233	0.07589180786
110	0.9970930233	0.07523404185
111	0.9970930233	0.07482523822
112	0.9970930233	0.07371126328
113	0.9970930233	0.07348615058
114	0.9970930233	0.07338276035
115	0.9970930233	0.07142593396
116	0.9970930233	0.07109144089
117	0.9970930233	0.07076735044
118	0.9970930233	0.06995837155
119	0.9970930233	0.06979115464
120	0.9970930233	0.06935773009
121	0.9970930233	0.06913606104
122	0.9970930233	0.06872458401
123	0.9970930233	0.0687032744
124	0.9970930233	0.06799480559
125	0.9970930233	0.06705422325
126	0.9970930233	0.06600085645
127	0.9970930233	0.06518451712
128	0.9970930233	0.06437246399
129	0.9970930233	0.06395049841
130	0.9970930233	0.06351076004
131	0.9985486212	0.06269290762
132	0.9985486212	0.06169847943
133	0.9985486212	0.06160307492
134	0.9985486212	0.06051473544
135	0.9985486212	0.05979456624
136	0.9985486212	0.05943931188
137	0.9985486212	0.05870675319
138	0.9985486212	0.0581142433
139	0.9985486212	0.05713380619
140	0.9985486212	0.05631482733
141	0.9985486212	0.05629966316
142	0.9985486212	0.05604804873
143	0.9985486212	0.05585579884
144	0.9985486212	0.05550765356
145	0.9985486212	0.05544240109
146	0.9985486212	0.05537862365
147	0.9985486212	0.05409162943
148	0.9985486212	0.05341990287
149	0.9985486212	0.05336675433
150	0.9985486212	0.05334802182
151	0.9985486212	0.05310619572
152	0.9985486212	0.05181064574
153	0.9985486212	0.05090488983
154	0.9985486212	0.0505294302
155	0.9985486212	0.05039225659
156	0.9985486212	0.0496535185
157	0.9985486212	0.04924988768
158	0.9985486212	0.04868713801
159	0.9985486212	0.04863730092
160	0.9985486212	0.04770494085
161	0.9985486212	0.04763420167
162	0.9985486212	0.04707092782
163	0.9985486212	0.04642934969
164	1	0.04578962453
165	1	0.0450478055
166	1	0.04482136608
167	1	0.04451328605
168	1	0.04429212106
169	1	0.04383556776
170	1	0.04358170414
171	1	0.04324596183
172	1	0.04290107458
173	1	0.04233726201
174	1	0.04153315188
175	1	0.04133260833
176	1	0.04073563436
177	1	0.04004521786
178	1	0.03953222662
179	1	0.03854429261
180	1	0.03767252444
181	1	0.03731549172
182	1	0.03705432965
183	1	0.03673695694
184	1	0.03655383077
185	1	0.03583075309
186	1	0.0354078789
187	1	0.03509027626
188	1	0.03470230103
189	1	0.03454768156
190	1	0.03451883099
191	1	0.03400187063
192	1	0.03361019428
193	1	0.03328824776
194	1	0.03305869508
195	1	0.03284856763
196	1	0.03267581722
197	1	0.03244272492
198	1	0.03208846144
199	1	0.03171660363
200	1	0.03152775883
201	1	0.03120627196
202	1	0.03061336117
203	1	0.03050597032
204	1	0.03002400632
205	1	0.02978187677
206	1	0.02966150909
207	1	0.02913010088
208	1	0.02871900034
209	1	0.02848469603
210	1	0.02831590444
211	1	0.02829372803
212	1	0.02775618511
213	1	0.02747582815
214	1	0.02710398981
215	1	0.02702879257
216	1	0.02672638139
217	1	0.02656884309
218	1	0.02654937189
219	1	0.02622427359
220	1	0.02573003166
221	1	0.02568048824
222	1	0.02566561809
223	1	0.02552511372
224	1	0.02527173276
225	1	0.02487827571
226	1	0.02486105355
227	1	0.02472414782
228	1	0.02463808422
229	1	0.02429335438
230	1	0.02405703122
231	1	0.02402788046
232	1	0.02378477196
233	1	0.02331234963
234	1	0.02319119925
235	1	0.0230724422
236	1	0.02293591203
237	1	0.02292010024
238	1	0.02290444444
239	1	0.02282429267
240	1	0.02257099271
241	1	0.02235134416
242	1	0.02223117341
243	1	0.02189858084
244	1	0.02185827002
245	1	0.02174274051
246	1	0.0216298979
247	1	0.02133030146
248	1	0.0211947555
249	1	0.02116911313
